Name,Timestamp,type,OS,challenge name,Mountain,score,Points
eFrostyy,2021-02-12 16:23:02,Time trial,Android,Selme Narrows,Waldtal,37.67,9427
hschindele,2021-06-15 17:31:30,Time trial,iOS,Selme Narrows,Waldtal,36.64,18599
massiv97,2021-02-10 14:59:28,Time trial,Android,Selme Narrows,Waldtal,37.19,13100
Antaris,2021-01-01 12:55:10,Time trial,iOS,The Siriside Slalom,Waldtal,13.98,11199
Avel,2021-03-08 2:05:34,Time trial,iOS,The Siriside Slalom,Waldtal,13.94,11600
BouncyJello,2021-01-20 17:06:49,Time trial,Android,The Siriside Slalom,Waldtal,13.81,12899
Fenrir,2021-01-10 18:54:23,Time trial,Android,The Siriside Slalom,Waldtal,14.0,10999
Gjeep302,2021-01-15 7:01:16,Time trial,Android,The Siriside Slalom,Waldtal,13.92,11799
Jamiemac,2021-04-01 14:27:45,Time trial,Android,The Siriside Slalom,Waldtal,13.62,14800
Mountain_Greg,2021-01-31 7:37:21,Time trial,Android,The Siriside Slalom,Waldtal,13.94,11600
Pinsek,2021-03-07 2:54:09,Time trial,Android,The Siriside Slalom,Waldtal,13.96,11399
Ryan Monty,2021-03-29 23:26:04,Time trial,Android,The Siriside Slalom,Waldtal,13.89,12099
SYNO,2020-11-20 8:38:16,Time trial,iOS,The Siriside Slalom,Waldtal,13.96,11399
Shadow,2020-11-23 19:01:17,Time trial,iOS,The Siriside Slalom,Waldtal,13.94,11600
Skier50,2021-02-15 6:16:17,Time trial,iOS,The Siriside Slalom,Waldtal,13.93,11700
Susannah,9/28/2021 20:16:40,Time trial,Android,The Siriside Slalom,Waldtal,13.93,11700
eFrostyy,2021-02-12 16:23:55,Time trial,Android,The Siriside Slalom,Waldtal,14.03,10700
hschindele,2021-04-01 17:33:54,Time trial,iOS,The Siriside Slalom,Waldtal,13.51,15899
massiv97,2021-02-10 14:56:43,Time trial,Android,The Siriside Slalom,Waldtal,13.87,12300
Avel,2021-03-27 5:58:20,Time trial,iOS,Selme Valley Race,Waldtal,48.34,11599
BouncyJello,2020-11-19 21:55:50,Time trial,Android,Selme Valley Race,Waldtal,47.57,19299
Fenrir,2021-01-10 18:50:56,Time trial,Android,Selme Valley Race,Waldtal,52.37,5509
Gjeep302,2021-01-23 21:47:49,Time trial,Android,Selme Valley Race,Waldtal,48.34,11599
Jamiemac,2021-03-19 17:15:39,Time trial,Android,Selme Valley Race,Waldtal,47.67,18299
Mountain_Greg,2021-02-15 8:37:17,Time trial,Android,Selme Valley Race,Waldtal,47.1,23999
Pinsek,2021-03-22 16:16:00,Time trial,Android,Selme Valley Race,Waldtal,48.44,10600
Ryan Monty,2021-02-26 1:01:24,Time trial,Android,Selme Valley Race,Waldtal,48.24,12599
SYNO,2021-03-04 14:48:01,Time trial,iOS,Selme Valley Race,Waldtal,47.05,24500
Skier50,2021-03-11 14:50:33,Time trial,iOS,Selme Valley Race,Waldtal,48.48,10200
eFrostyy,2021-02-12 16:24:24,Time trial,Android,Selme Valley Race,Waldtal,50.09,7827
hschindele,2020-12-16 9:35:20,Time trial,iOS,Selme Valley Race,Waldtal,46.94,25600
massiv97,2021-02-10 14:58:10,Time trial,Android,Selme Valley Race,Waldtal,47.77,17299
hschindele,2021-06-21 9:33:46,Time trial,iOS,The Swing Passage,Waldtal,17.81,11900
Mountain_Greg,2021-06-22 5:07:30,Time trial,Android,The Swing Passage,Waldtal,17.96,10399
massiv97,2021-06-27 11:13:28,Time trial,Android,The Swing Passage,Waldtal,17.98,10199
Skier50,2021-06-30 18:54:31,Time trial,iOS,The Swing Passage,Waldtal,17.86,11400
Jamiemac,2021-07-04 5:06:05,Time trial,Android,The Swing Passage,Waldtal,17.98,10199
Avel,2021-09-19 8:35:38,Time trial,iOS,Over The Pist,Waldtal,8.66,14900
Fenrir,2021-01-18 11:56:07,Time trial,Android,Over The Pist,Waldtal,9.8,5885
Gjeep302,2021-01-14 9:11:00,Time trial,Android,Over The Pist,Waldtal,9.02,11300
Jamiemac,2021-01-16 14:20:21,Time trial,Android,Over The Pist,Waldtal,8.92,12300
Mountain_Greg,2021-01-11 9:29:07,Time trial,Android,Over The Pist,Waldtal,9.1,10500
Pinsek,2021-03-23 4:23:32,Time trial,Android,Over The Pist,Waldtal,9.14,10099
Ryan Monty,2021-03-01 21:27:53,Time trial,Android,Over The Pist,Waldtal,8.88,12699
SYNO,2021-01-22 15:57:58,Time trial,iOS,Over The Pist,Waldtal,9.1,10500
Skier50,2021-03-05 11:23:34,Time trial,iOS,Over The Pist,Waldtal,9.14,10099
eFrostyy,2021-02-12 16:25:21,Time trial,Android,Over The Pist,Waldtal,10.16,4388
hschindele,2021-01-03 10:28:12,Time trial,iOS,Over The Pist,Waldtal,8.51,16400
massiv97,2021-01-09 11:36:10,Time trial,Android,Over The Pist,Waldtal,9.12,10300
Avel,2021-03-06 17:42:26,Time trial,iOS,Woodland Deep Trail,Waldtal,14.56,10399
BouncyJello,2020-11-19 23:14:58,Time trial,Android,Woodland Deep Trail,Waldtal,14.0,15999
Fenrir,2021-01-18 12:16:01,Time trial,Android,Woodland Deep Trail,Waldtal,14.74,8977
Gjeep302,2021-01-14 9:16:42,Time trial,Android,Woodland Deep Trail,Waldtal,14.49,11099
Jamiemac,2021-03-20 6:34:22,Time trial,Android,Woodland Deep Trail,Waldtal,14.24,13599
